"cust_id","state","zip","speeddown","speedup","last","numords","dollars","sincepurch","oldmodel","refurb","eightvalve","type","income","medhvalue","buy1","training"
50428,"West Virginia",25976,9.7,0.3,22,1,170,24,0,0,1,"other",0.32679,0.677,0,1
44258,"Iowa",50845,0.4,0.1,18,1,17,14,0,0,0,"quickservice",0.47083,0.807,0,0
23597,"Arizona",86004,11.1,0.9,32,3,82,7,0,0,0,"quickservice",0.58662,2.596,0,0
46059,"Florida",32025,66.6,6.7,14,4,97,12,0,0,0,"fastcasual",0.39916,1.047,0,0
45858,"Texas",78654,5.2,1.3,7,2,192,10,0,0,1,"fastcasual",0.46086,1.755,0,1
4594,"California",95624,84.6,21.2,23,1,84,27,0,1,0,"other",0.77652,2.619,0,0
74558,"Ohio",44125,45.8,2.8,25,2,89,23,0,0,1,"quickservice",0.43693,0.89,0,1
61874,"Rhode Island",2839,100,10,34,3,68,9,0,0,0,"fastcasual",0.7375,2.409,0,0
14437,"New York",11208,99.1,9.9,25,4,136,7,0,0,0,"fastcasual",0.35079,4.411,0,0
28649,"Iowa",50530,5.5,0.2,19,1,30,21,0,0,0,"quickservice",0.35625,0.708,0,1
38141,"Missouri",64507,12.9,1.1,19,1,77,32,1,0,0,"quickservice",0.42255,0.989,0,1
67525,"Tennessee",38574,24.5,1.1,30,2,52,19,0,0,0,"quickservice",0.29782,0.988,0,0
18046,"Washington",99336,98.8,3,22,4,248,15,0,0,0,"fastcasual",0.4199,1.461,0,0
67482,"California",95330,91.5,22.9,23,2,104,18,0,0,0,"fastcasual",0.60887,1.917,0,1
44436,"Florida",32792,50,10,5,4,350,9,0,0,0,"other",0.40137,1.713,0,1
1859,"Missouri",63867,60.3,1.8,2,3,214,16,0,0,0,"quickservice",0.41875,0.75,0,1
16397,"Ohio",44641,35.7,2.2,14,3,50,20,0,0,0,"fastcasual",0.53795,1.378,0,1
70395,"Ohio",44118,49.1,3,40,1,60,13,0,0,1,"fastcasual",0.54635,1.473,0,1
3373,"Connecticut",6098,99.3,3.7,18,1,54,33,1,0,0,"fastcasual",0.60298,1.986,0,1
46237,"Georgia",30045,90.4,7.2,12,4,133,16,0,0,1,"fastcasual",0.71401,1.63,0,0
14832,"Pennsylvania",15229,77.5,38.7,15,3,36,26,0,0,0,"quickservice",0.58457,1.267,0,0
48284,"Indiana",47882,21.4,2.1,14,3,130,46,1,0,1,"quickservice",0.40625,0.804,0,0
27812,"Illinois",60706,93.3,9.3,36,1,30,22,0,1,0,"quickservice",0.49325,2.587,0,1
31521,"Massachusetts",1610,100,3,15,2,82,11,0,0,0,"quickservice",0.30532,1.918,0,1
48732,"South Carolina",29909,40.3,2.4,3,1,64,35,0,1,1,"quickservice",0.65487,2.627,1,1
62275,"Tennessee",37877,93.6,2.8,25,3,74,29,1,0,0,"other",0.4275,1.273,0,1
47152,"New York",12853,18.8,1.1,24,1,110,23,1,0,0,"quickservice",0.41563,1.702,0,1
11924,"Mississippi",38868,22.3,1.8,5,1,20,9,0,0,0,"quickservice",0.38963,0.649,0,0
27993,"Maryland",20615,90.3,9,19,1,20,10,0,0,0,"quickservice",1.14375,3.611,0,1
54301,"Alabama",35747,97.1,2.9,15,1,54,9,0,0,0,"quickservice",0.5274,1.052,0,1
67721,"Wisconsin",54230,52.7,3.6,26,2,52,28,0,1,1,"quickservice",0.61337,1.536,0,0
69891,"Alabama",35759,58.1,4.3,20,1,14,32,1,0,0,"quickservice",0.81044,1.808,0,0
57895,"Indiana",46227,81.8,8,9,1,80,26,0,1,0,"quickservice",0.3738,1.165,0,1
27571,"Oklahoma",74338,4.1,0.2,16,3,348,30,0,1,1,"fastcasual",0.33285,0.757,0,1
29112,"Illinois",62375,0.9,0.3,34,3,93,11,0,0,0,"quickservice",0.53333,0.65,0,0
71494,"New York",10603,100,10,32,1,74,18,0,0,0,"quickservice",0.91903,4.269,0,1
62212,"Alabama",36375,13.4,1.5,38,1,58,15,0,0,0,"quickservice",0.43047,0.801,0,1
21595,"Texas",77446,0,0,20,1,20,7,0,0,0,"quickservice",0.33897,1.115,0,1
26196,"New York",11365,49.9,3.5,26,2,102,19,0,0,1,"quickservice",0.55492,5.803,0,1
72421,"California",94587,81.6,20.4,14,2,18,15,0,0,1,"quickservice",0.82083,4.743,0,1
21368,"Texas",77433,71.6,7.2,30,2,84,11,0,0,1,"other",0.89258,1.731,0,0
3031,"Minnesota",56331,1.8,0.1,38,3,136,41,0,1,0,"fastcasual",0.61713,1.791,0,1
20562,"Ohio",45890,36,2.2,30,1,20,21,0,0,0,"fastcasual",0.635,0.881,0,1
65262,"Texas",79081,3.3,0.5,25,1,40,14,0,0,0,"quickservice",0.47292,0.716,0,1
3392,"Kentucky",40515,46.3,2.8,38,2,99,13,0,0,1,"fastcasual",0.68195,2.02,0,1
32288,"Pennsylvania",16217,21.1,2.8,23,1,64,14,0,0,0,"other",0.2975,1.163,0,1
10831,"California",96031,0,0,7,1,84,39,0,1,0,"quickservice",0.28125,2.458,0,1
71322,"Ohio",43465,48.1,2.8,35,2,98,32,1,0,0,"quickservice",0.45549,1.055,0,0
56111,"California",94619,79.3,19.8,22,5,168,16,0,0,0,"quickservice",0.75963,4.505,0,1
21993,"Iowa",50468,3.6,0.3,20,3,198,32,0,1,0,"fastcasual",0.56719,1.063,0,1
52036,"Minnesota",56201,70,2.1,12,4,140,14,0,0,1,"fastcasual",0.44851,1.473,0,0
68679,"California",90254,49.8,3,36,3,88,18,0,0,0,"quickservice",1.01655,10.00001,0,1
62852,"California",95326,66.2,2.2,37,1,13,38,0,1,0,"fastcasual",0.50254,2.087,0,1
63068,"New York",14422,47.6,2.9,21,4,196,18,0,0,1,"quickservice",0.64286,0.938,0,1
51238,"Ohio",43068,49.5,3,33,1,70,28,0,0,0,"quickservice",0.54176,1.379,0,1
53030,"Massachusetts",1772,96.7,7.9,18,5,172,20,0,0,0,"quickservice",1.50129,5,0,1
72408,"Pennsylvania",17584,77.9,38.9,26,4,58,13,0,0,0,"fastcasual",0.65369,1.964,0,1
35745,"Michigan",49969,37,1.1,26,1,68,33,1,0,0,"fastcasual",0.43875,1.68,0,0
65119,"Texas",77449,77.7,7.8,27,2,34,22,1,0,1,"other",0.6542,1.185,0,1
40190,"Texas",79912,9.9,1.5,36,1,103,45,1,0,0,"quickservice",0.59174,1.718,0,1
1269,"North Carolina",28694,41.1,1.9,10,3,90,41,0,1,0,"quickservice",0.35476,1.586,0,1
71845,"California",93615,14,3.5,19,3,84,15,0,0,1,"other",0.27525,1.465,0,0
34940,"New York",11372,50,3.8,42,5,410,30,0,1,0,"quickservice",0.48683,2.655,0,1
13993,"Florida",32778,64.9,6.7,23,3,138,32,1,0,0,"quickservice",0.40578,1.224,0,0
2737,"Ohio",44850,5.3,0.4,15,1,44,16,0,0,0,"quickservice",0.21354,0.646,0,1
52866,"Minnesota",55371,3.3,0.3,13,1,58,12,0,0,1,"quickservice",0.56497,1.696,0,1
4075,"Maine",3906,41.3,2.5,7,1,30,10,0,0,0,"quickservice",0.68776,2.235,0,0
68208,"Nevada",89123,100,10,18,2,29,28,1,0,0,"quickservice",0.59629,1.774,0,1
64913,"Washington",98358,40.4,2.4,14,3,55,10,0,0,0,"quickservice",0.51146,4.17,0,0
66735,"New York",11422,53.3,3.5,33,3,298,9,0,0,0,"other",0.84824,4.138,0,1
51559,"Arizona",86020,3.2,0.3,20,1,90,27,1,0,0,"quickservice",0.21944,0.691,0,1
9279,"Iowa",52170,4.1,0.6,10,1,12,24,0,0,1,"quickservice",0.66375,1.604,0,0
64488,"New Jersey",8831,92.3,42.8,21,2,206,35,0,1,0,"quickservice",0.67676,3.243,0,1
45726,"New Jersey",8805,100,10,16,2,23,26,0,0,0,"fastcasual",0.6704,3.021,0,1
37263,"Virginia",22627,10.2,1.3,28,1,6,32,1,0,1,"quickservice",0.74881,5.142,0,0
7084,"Texas",78261,9.8,1.5,31,1,50,28,0,1,0,"other",0.98729,2.374,0,1
6583,"North Carolina",27852,17.2,1,25,1,62,4,0,0,1,"other",0.44054,0.88,0,1
55284,"Maryland",20785,59.9,6,22,2,28,19,1,0,0,"fastcasual",0.60324,2.249,0,1
28311,"Oregon",97071,41.4,2.6,20,3,166,18,0,0,0,"quickservice",0.43331,1.752,0,1
31176,"Illinois",60624,84.3,8.4,13,2,25,5,0,0,0,"quickservice",0.22786,1.722,0,1
34189,"New York",13753,16.5,1,14,4,298,36,1,0,0,"fastcasual",0.47792,1.688,0,1
1037,"California",95610,96.7,24.2,36,2,164,12,0,0,0,"quickservice",0.50928,2.155,0,1
